price_btc,price_usd,total_supply,percent_change_7d,available_supply,symbol,24h_volume_usd,rank,percent_change_1h,id,market_cap_usd,percent_change_24h,name,last_updated
0.00000002,0.0000569007,222173516131,-18.78,222173516131,MOON,16809.7,137,0.78,mooncoin,12641829.0,12.98,Mooncoin,1501152543
0.00001246,0.0322808,390312753.0,-5.54,390312753.0,GRC,46613.6,138,1.48,gridcoin,12599608.0,4.13,GridCoin,1501152553
0.000209,0.541604,22747809.0,-9.51,22747809.0,DTB,50861.3,139,1.4,databits,12320304.0,5.03,Databits,1501152577
0.00137982,3.57568,211674991.0,-5.1,3386099.0,ECN,133429.0,140,6.45,e-coin,12107605.0,16.07,E-coin,1501152578
0.00003854,0.0998728,121088788.0,-2.8,121088788.0,ENRG,12583.9,141,1.36,energycoin,12093476.0,-0.25,Energycoin,1501152547
0.00003731,0.0966845,500000000.0,4.73,125000000.0,CFI,235670.0,142,1.05,cofound-it,12085563.0,-1.18,Cofound.it,1501152582
0.00454847,11.7869,1003922.0,-1.46,1003922.0,SLS,9894.64,143,3.76,salus,11833130.0,3.95,SaluS,1501152561
0.00007735,0.200457,83337000.0,-3.24,58721917.0,SAN,658572.0,144,-0.13,santiment,11771219.0,7.3,Santiment Network Token,1501152587
0.00131155,3.39875,3421618.0,-3.32,3421618.0,NEOS,50780.0,145,0.88,neoscoin,11629225.0,4.19,NeosCoin,1501152553
0.00030488,0.790067,14584178.0,-21.91,14584178.0,CRW,49725.9,146,0.7,crown,11522478.0,-6.77,Crown,1501152551
0.00029025,0.752167,15124103.0,-51.02,15124103.0,CHC,256366.0,147,2.16,chaincoin,11375851.0,-13.14,ChainCoin,1501152555
0.00043022,1.11488,10000000.0,-10.29,10000000.0,BCAP,78592.2,148,1.18,bcap,11148800.0,1.01,BCAP,1501152580
0.00596674,15.4623,710113.0,-0.07,710113.0,TIME,476782.0,149,-2.35,chronobank,10979977.0,1.91,Chronobank,1501152575
0.00049746,1.28911,8463340.0,4.18,8463340.0,SPR,34612.8,150,4.07,spreadcoin,10910177.0,6.26,SpreadCoin,1501152554
0.00003302,0.085567,125643428.0,-3.6,125643428.0,MUE,37648.5,151,0.65,monetaryunit,10750931.0,8.24,MonetaryUnit,1501152553
0.00004079,0.105703,200000000.0,,100000000.0,BNB,208994.0,152,1.64,binance-coin,10570300.0,0.24,Binance Coin,1501152588
0.00013,0.336883,786000000.0,-27.96,30713455.0,EB3,325048.0,153,3.34,eb3-coin,10346841.0,14.68,EB3 Coin,1501152578
0.00221765,5.74684,1785613.0,-20.64,1785613.0,NVC,41694.5,154,0.08,novacoin,10261630.0,-28.2,Novacoin,1501152541
0.00000004,0.00011244,90596274910.0,5.61,90596274910.0,IFC,941662.0,155,0.85,infinitecoin,10186645.0,10.16,Infinitecoin,1501152541
0.00005881,0.152409,66521586.0,-12.17,66521586.0,NXC,37804.1,156,2.72,nexium,10138488.0,2.97,Nexium,1501152571
0.00459598,11.9101,20000000.0,-10.7,850000.0,PLU,104243.0,157,4.14,pluton,10123579.0,0.24,Pluton,1501152567
0.00005586,0.144753,68032792.0,-29.81,68032792.0,GRS,76336.2,158,1.59,groestlcoin,9847951.0,-8.22,Groestlcoin,1501152546
0.00004996,0.129459,98855150.0,-9.01,75000000.0,GUP,98894.7,159,0.72,guppy,9709425.0,1.78,Matchpool,1501152579
0.00000535,0.0138545,700440359.0,-6.49,700440359.0,BASH,125275.0,160,0.11,luckchain,9704251.0,3.46,LuckChain,1501152570
0.00005328,0.138083,100002000.0,2.4,70000000.0,PTOY,288388.0,161,-1.21,patientory,9665810.0,-0.65,Patientory,1501152582
0.00144347,3.74063,16285957.0,-2.76,2538715.0,CLAM,162798.0,162,0.06,clams,9496394.0,4.91,Clams,1501152551
0.00045187,1.17098,10000000.0,-7.5,7997270.0,WCT,12640.9,163,0.61,waves-community-token,9364643.0,13.77,Waves Community Token,1501152575
0.018152,47.0391,197776.0,4.69,197776.0,UNO,32580.0,164,1.33,unobtanium,9303189.0,-1.22,Unobtanium,1501152543
0.00014505,0.375886,24588586.0,-3.8,24588586.0,RBY,8169.81,165,1.32,rubycoin,9242505.0,-0.76,Rubycoin,1501152547
0.00036234,0.938977,31587682.0,-20.48,9813786.0,MCO,140021.0,166,1.59,monaco,9214920.0,1.9,Monaco,1501152585
0.00001732,0.0448848,203055322.0,43.03,203055322.0,NLC2,11865.4,167,1.39,nolimitcoin,9114098.0,7.42,NoLimitCoin,1501152568
0.00005503,0.142614,63802400.0,-0.93,63802400.0,BITCNY,844539.0,168,0.75,bitcny,9099115.0,1.76,bitCNY,1501152550
